ID,CFR_prediction,gold,rawLevenshteinED,phonemewiseLevenshteinED,featureED,pred_phone_length,gold_phone_length
0,*/həɟˈazmbə/,/ajˈazəm/,6,1.0,1.4807692307692308,8,6
1,*/dəɾˈɔɲ/,/aðəɾˈɔj/,3,0.5,0.8461538461538461,5,6
2,*/həɾˈəɲ/,/aðuɾˈɔj/,5,0.8333333333333334,1.2692307692307692,5,6
3,*/həɾɡˈavə/,/aɾɡˈɔvə/,3,0.5,0.6923076923076923,7,6
4,*/həɾt͡ʃˈitə/,/aɾcˈitə/,3,0.5,0.6346153846153846,7,6
5,*/haɾdəɾˈit͡sə/,/aɾdɛnˈit͡sə/,3,0.375,0.6153846153846154,9,8
6,*/dɾ?1ˈye̯n/,/aɾsˈye̯/,3,0.6,1.0769230769230769,6,5
7,*/həlbəɾˈiʃ/,/aɾbəɾˈɛʃ/,4,0.5714285714285714,0.6346153846153846,8,7
8,*/nəmˈik/,/aɾmˈik/,2,0.4,0.6153846153846154,5,5
10,*/rˈəɲ/,/arˈij/,3,0.75,0.8076923076923077,3,4
11,*/həvˈit/,/avˈit/,2,0.5,0.46153846153846156,5,4
12,*/həvlˈi/,/avlˠˈi/,3,0.75,0.5384615384615384,5,4
13,*/havləmˈen/,/avləmˈɛnd/,3,0.375,0.8461538461538461,8,8
14,*/hˈɛj/,/ˈaj/,2,1.0,0.5,3,2
15,*/hˈaɾ/,/ˈajəɾ/,3,0.75,0.7884615384615384,3,4
16,*/hˈat͡ʃklˠə/,/ˈaʃkəl/,4,0.8,1.0961538461538463,6,5
17,*/hˈat͡ʃpɾ/,/ˈaʃpəɾ/,3,0.6,1.1153846153846154,5,5
18,*/hˈalimbə/,/ˈaləm/,4,1.0,1.4807692307692308,7,4
19,*/hˈaɾ/,/ˈaɾ/,1,0.5,0.46153846153846156,3,2
20,*/hˈaɾk/,/ˈaɾk/,1,0.3333333333333333,0.46153846153846156,4,3
21,*/hˈaɾkə/,/ˈaɾkə/,1,0.25,0.46153846153846156,5,4
22,*/hˈalbn/,/ˈaɾbəɾ/,4,0.8,1.2115384615384615,5,5
23,*/hˈaɾmbə/,/ˈaɾmə/,2,0.5,0.8846153846153846,6,4
24,*/hˈaft/,/ˈaft/,1,0.3333333333333333,0.46153846153846156,4,3
25,*/hˈəmbɛ/,/ˈamɛ/,3,1.0,0.9423076923076923,5,3
26,*/həɾbˈɪl/,/haɾabˈɛl/,3,0.42857142857142855,0.8846153846153846,6,7
27,*/hərˈəɲ/,/harˈɔj/,3,0.6,0.3269230769230769,5,5
28,*/həbˈit/,/habˈit/,1,0.2,0.09615384615384616,5,5
29,*/həɾmbət͡ʃʃˈɛɾj/,/hamʃˈɔɾ/,7,1.1666666666666667,2.7115384615384617,11,6
30,*/həjtˈəɲ/,/hɛtˈɔj/,4,0.8,0.75,6,5
31,*/fʒɾəmˈəɲ/,/hɛɾmˈɔj/,5,0.8333333333333334,1.1923076923076923,7,6
32,*/hˈɔɾə/,/hˈɛɾə/,1,0.25,0.15384615384615385,4,4
33,*/hənɡəlˠˈəɲ/,/hiŋɡəlˠˈɔj/,4,0.5,0.5,8,8
34,*/hətˈat/,/hitˈat/,1,0.2,0.09615384615384616,5,5
35,*/həɾˈɛklˠə/,/hˈiŋɡəl/,6,1.0,1.6730769230769231,7,6
36,*/həɾmˈavə/,/hɔɾmˈɔvə/,2,0.2857142857142857,0.36538461538461536,7,7
37,*/jˈɔk/,/hˈɔkə/,2,0.5,0.75,3,4
38,*/hˈɔɾə/,/hˈɔɾə/,0,0.0,0.0,4,4
39,*/həkˈat/,/hukˈat/,1,0.2,0.17307692307692307,5,5
40,*/həltˈie̯ɾ/,/əltˈɛɾ/,3,0.6,0.8076923076923077,7,5
41,*/həɾɟjˈɛn/,/əɾɟˈɛnd/,3,0.5,0.9615384615384616,7,6
42,*/həɾsˈɛnkə/,/əɾsˈiŋɡə/,4,0.5714285714285714,0.6538461538461539,8,7
43,*/hˈənɟɛl/,/ˈəɲɟəlˠ/,4,0.8,0.6730769230769231,6,5
44,*/hˈɛɡɾɛə/,/ˈɛɡəɾ/,4,1.0,1.2884615384615385,6,4
45,*/hˈɛnɟɛl/,/ˈɛɲɟəlˠ/,4,0.8,0.7307692307692307,6,5
46,*/hˈit͡ʃkə/,/ˈɛʃkə/,3,0.75,0.5961538461538461,5,4
47,*/vəjˈɛɾə/,/ˈɛɾə/,3,1.0,1.3653846153846154,6,3
48,*/hˈəmtə/,/ˈɛmtə/,2,0.5,0.4230769230769231,5,4
49,*/jənnvˈɛɾj/,/janˈaɾ/,5,1.0,1.4423076923076923,8,5
50,*/jəɾˈiɾə/,/jaɾˈinə/,2,0.3333333333333333,0.19230769230769232,6,6
51,*/jəɾˈaw/,/jaɾˈua̯/,3,0.6,0.5576923076923077,5,5
52,*/hˈɛs/,/jˈaz/,3,1.0,0.3269230769230769,3,3
53,*/jˈaɾ/,/jˈaɾm/,1,0.25,0.5576923076923077,3,4
54,*/hˈi/,/jˈavə/,4,1.0,1.3846153846153846,2,4
55,*/jˈɛhə/,/jˈɛh/,1,0.3333333333333333,0.40384615384615385,4,3
